time,paramecium,didinium
1985/12/1,1.013119363,0.628079077
1986/1/1,0.88900466,0.725976601
1986/2/1,0.684987844,0.826961892
1986/3/1,0.685066185,0.8908811
1986/4/1,0.630044645,0.915676147
1986/5/1,0.019736487,0.74124851
1986/6/1,-0.662851599,0.434691032
1986/7/1,0.275513812,0.532964922
1986/8/1,0.32155239,0.582128522
1986/9/1,0.264486058,0.583965653
1986/10/1,1.146478397,0.66575612
1986/11/1,0.979307019,0.706835972
1986/12/1,0.991408314,0.723909108
1987/1/1,1.089613574,0.727142193
1987/2/1,1.285648045,0.772456173
1987/3/1,1.226241092,0.801382932
1987/4/1,1.045824989,0.786042369
1987/5/1,0.931960552,0.78436468
1987/6/1,1.207588279,0.841613454
1987/7/1,-0.17220999,0.53219176
1987/8/1,-0.366993955,0.319030798
1987/9/1,0.163496133,0.315362742
1987/10/1,-0.605816303,0.219765511
1987/11/1,-0.520990288,0.144590982
1987/12/1,-0.541458312,0.047531974
1988/1/1,-0.619060039,-0.094056113
1988/2/1,-0.670181634,-0.173375088
1988/3/1,-0.711959759,-0.243267538
1988/4/1,-0.725296287,-0.293198396
1988/5/1,-0.385401776,-0.289114886
1988/6/1,-0.658829962,-0.329081753
1988/7/1,-0.876039888,-0.38609991
1988/8/1,-0.804666773,-0.412456486
1988/9/1,-1.363886501,-0.575471586
1988/10/1,-1.359559403,-0.731544007
1988/11/1,-1.29426654,-0.863896214
1988/12/1,-1.384468991,-1.026894218
1989/1/1,-1.422980153,-1.176174755
1989/2/1,-1.373452933,-1.256162022
1989/3/1,-1.294952134,-1.293746068
1989/4/1,-1.455562306,-1.337198424
1989/5/1,-1.330347172,-1.333935115
1989/6/1,-0.975954709,-1.301512704
1989/7/1,-0.618503625,-1.271534862
1989/8/1,-0.958576988,-1.319130793
1989/9/1,-1.201840486,-1.408114478
1989/10/1,-0.889840978,-1.413454428
1989/11/1,-0.978624837,-1.431202043
1989/12/1,-0.875595631,-1.422737329
1990/1/1,-0.908715513,-1.432277379
1990/2/1,-0.849890202,-1.380833165
1990/3/1,-0.670994837,-1.331775609
1990/4/1,-0.482341819,-1.283073866
1990/5/1,-0.04973811,-1.203656367
1990/6/1,0.642191045,-1.036955476
1990/7/1,1.393454983,-0.835453918
1990/8/1,1.437117325,-0.654312522
1990/9/1,1.68699422,-0.405875657
1990/10/1,2.135189606,-0.199284984
1990/11/1,1.978128891,0.01234702
1990/12/1,1.781593383,0.156992516
1991/1/1,2.056184826,0.323753302
1991/2/1,2.046683903,0.496470449
1991/3/1,1.322988793,0.626773163
1991/4/1,1.361242622,0.761932248
1991/5/1,0.522430076,0.633797832
1991/6/1,0.140746787,0.439950777
1991/7/1,-0.299710983,0.292487484
1991/8/1,0.214584917,0.327189584
1991/9/1,0.939427287,0.447169891
1991/10/1,0.929865651,0.527348499
1991/11/1,1.149443776,0.619058761
1991/12/1,1.034982719,0.664178966
1992/1/1,0.931324922,0.664713162
1992/2/1,1.461059125,0.788571642
1992/3/1,1.279995671,0.856782717
1992/4/1,1.063454453,0.86575318
1992/5/1,1.332431613,0.993042316
1992/6/1,0.666598794,0.911654594
1992/7/1,0.480661757,0.841044352
1992/8/1,-0.016875581,0.687127114
1992/9/1,-0.612300191,0.44114934
1992/10/1,-0.564467259,0.290359663
1992/11/1,-0.656070825,0.123328163
1992/12/1,-0.724612764,-0.068846949
1993/1/1,-0.787957598,-0.273827627
1993/2/1,-0.89301534,-0.421840192
1993/3/1,-0.856541583,-0.523689214
1993/4/1,-0.695890826,-0.566862072
1993/5/1,-0.519192318,-0.570557777
1993/6/1,-0.46915145,-0.574498486
1993/7/1,-0.756564622,-0.624612065
1993/8/1,-0.25341615,-0.56690889
1993/9/1,-0.023044674,-0.471391805
1993/10/1,-0.245108656,-0.424761043
1993/11/1,-0.369031768,-0.425181837
1993/12/1,-0.409602745,-0.445965377
1994/1/1,-0.537095552,-0.513312599
1994/2/1,-0.527570009,-0.515634532
1994/3/1,-0.147967244,-0.437580222
1994/4/1,-0.292514705,-0.413892419
1994/5/1,-0.472779036,-0.455660242
1994/6/1,0.582888131,-0.290935046
1994/7/1,1.390923024,0.022946291
1994/8/1,1.092343947,0.215448488
1994/9/1,0.644401916,0.303123857
1994/10/1,0.097396647,0.26104685
1994/11/1,0.367328497,0.316852091
1994/12/1,0.510883669,0.383283913
1995/1/1,0.628903697,0.422211046
1995/2/1,0.408359983,0.439157037
1995/3/1,0.060415937,0.35121622
1995/4/1,0.138415961,0.328924561
1995/5/1,0.215992969,0.317195486
1995/6/1,-0.402201325,0.142555939
1995/7/1,-0.490688981,0.050539766
1995/8/1,-0.12031354,0.045919107
1995/9/1,0.329671761,0.121383194
1995/10/1,0.507164612,0.223670959
1995/11/1,0.838493302,0.338732212
1995/12/1,0.504224161,0.348067607
1996/1/1,0.350692114,0.302371959
1996/2/1,0.240506118,0.301383475
1996/3/1,0.650653614,0.376302226
1996/4/1,0.873560155,0.46182907
1996/5/1,1.275906711,0.656958043
1996/6/1,0.962660841,0.75268217
1996/7/1,0.875361414,0.884357061
1996/8/1,0.558326506,0.914731567
1996/9/1,0.135191801,0.839711537
1996/10/1,0.090150278,0.805605973
1996/11/1,-0.079224711,0.709312866
1996/12/1,-0.095078856,0.607066046
1997/1/1,-0.041666671,0.492174512
1997/2/1,0.025896305,0.451586843
1997/3/1,0.029327815,0.396763172
1997/4/1,0.42894807,0.448675463
1997/5/1,0.002050951,0.35584287
1997/6/1,0.217740674,0.350140267
1997/7/1,0.463279475,0.442560253
1997/8/1,0.39028346,0.506645749
1997/9/1,1.017087568,0.658636809
1997/10/1,1.157293985,0.751080945
1997/11/1,0.586716058,0.726974843
1997/12/1,0.585137762,0.686258597
1998/1/1,0.602703615,0.622592882
1998/2/1,0.343840885,0.547085781
1998/3/1,0.395205648,0.48652404
1998/4/1,0.31226786,0.400384462
1998/5/1,0.395351766,0.375349852
1998/6/1,0.664809592,0.418077005
1998/7/1,0.382857747,0.422171443
1998/8/1,0.284426235,0.417573857
1998/9/1,-0.43295988,0.257890715
1998/10/1,-0.668564127,0.125004165
1998/11/1,-0.541012002,0.028147666
1998/12/1,-0.655786557,-0.107871428
1999/1/1,-0.511468729,-0.221040674
1999/2/1,-0.595400558,-0.28942504
1999/3/1,-0.737052203,-0.386602121
1999/4/1,-0.974036824,-0.483906576
1999/5/1,-0.353700098,-0.43748602
1999/6/1,-0.897729801,-0.557081457
1999/7/1,-0.780042704,-0.588778399
1999/8/1,0.163109504,-0.468100583
1999/9/1,0.648960471,-0.290636779
1999/10/1,1.239231068,-0.056509687
1999/11/1,1.478504675,0.156081157
1999/12/1,1.604956914,0.334295888
2000/1/1,1.316152492,0.477014849
2000/2/1,1.836640415,0.682017249
2000/3/1,2.252934061,0.94000927
2000/4/1,2.152722264,1.168085463
2000/5/1,2.33757917,1.394261525
2000/6/1,2.344381928,1.805490777
2000/7/1,2.333683756,2.054682132
2000/8/1,1.406830697,2.002327169
2000/9/1,1.122673138,1.873190513
2000/10/1,1.233152156,1.864959605
2000/11/1,0.841207409,1.839321192
2000/12/1,0.709886967,1.783917231
2001/1/1,0.407791932,1.534315554
2001/2/1,0.328207527,1.344736425
2001/3/1,0.154560657,1.114628236
2001/4/1,0.068937875,0.92652806
2001/5/1,0.881132762,1.112973478
2001/6/1,1.532506377,1.416447399
2001/7/1,1.373597954,1.583034313
2001/8/1,1.075375802,1.585454137
2001/9/1,1.189623592,1.652703234
2001/10/1,1.883002151,1.788350018
2001/11/1,2.165068832,1.90993968
2001/12/1,2.344268367,2.054971084
2002/1/1,2.158633585,2.230301561
2002/2/1,2.004657353,2.295761091
2002/3/1,1.696835179,2.335596987
2002/4/1,1.94155544,2.363975149
2002/5/1,1.782259351,2.399708115
2002/6/1,1.155201506,2.270532422
2002/7/1,1.102181285,2.044093998
2002/8/1,2.392635467,2.111809886
2002/9/1,2.135882665,2.208100482
2002/10/1,1.521143341,2.131602335
2002/11/1,1.083265172,2.051182197
2002/12/1,1.07971605,2.000542507
2003/1/1,1.020260433,1.894144648
2003/2/1,1.202244669,1.833298434
2003/3/1,1.206508047,1.777444054
2003/4/1,1.144401666,1.664660467
2003/5/1,0.353921428,1.351456494
2003/6/1,0.719156379,1.194032587
2003/7/1,0.147517982,0.977350413
2003/8/1,-0.596741597,0.780752031
2003/9/1,-0.56062959,0.607875519
2003/10/1,-0.73888116,0.451825856
2003/11/1,-0.820086038,0.264106324
2003/12/1,-0.769425219,0.100719041
2004/1/1,-0.781732421,-0.080401514
2004/2/1,-0.874499648,-0.209872443
2004/3/1,-0.974220932,-0.324714422
2004/4/1,-0.376031252,-0.299002937
2004/5/1,-0.070274031,-0.234585854
2004/6/1,-0.334163678,-0.244160828
2004/7/1,-0.045586565,-0.186162828
2004/8/1,0.05591822,-0.135924051
2004/9/1,0.092399865,-0.097507944
2004/10/1,0.103798255,-0.070467227
2004/11/1,0.248069473,-0.01681903
2004/12/1,0.058339055,-0.043789717
2005/1/1,0.045119507,-0.104680381
2005/2/1,-0.042749969,-0.115105798
2005/3/1,0.51094335,-0.042433996
2005/4/1,-0.099352383,-0.099772684
2005/5/1,-0.838389684,-0.273446197
2005/6/1,-0.777372346,-0.37324616
2005/7/1,-0.849624618,-0.454691733
2005/8/1,-0.525952463,-0.449383642
2005/9/1,-0.518462686,-0.442872349
2005/10/1,-0.400796944,-0.389200939
2005/11/1,-0.414311102,-0.363703583
2005/12/1,-0.377440977,-0.338256194
2006/1/1,-0.479805351,-0.371076228
2006/2/1,-0.486378449,-0.360099853
2006/3/1,-0.822919585,-0.424382263
2006/4/1,-0.588340072,-0.398845641
2006/5/1,0.09144197,-0.274360993
2006/6/1,-0.197135299,-0.260069462
2006/7/1,0.021869883,-0.169705733
