time,paramecium,didinium
1997/8/1,0.39028346,0.099583087
1997/9/1,1.017087568,0.741587849
1997/10/1,1.157293985,1.073742649
1997/11/1,0.586716058,0.807716808
1997/12/1,0.585137762,0.797190879
1998/1/1,0.602703615,0.765887692
1998/2/1,0.343840885,0.755062327
1998/3/1,0.395205648,0.749406921
1998/4/1,0.31226786,0.74986228
1998/5/1,0.395351766,0.74425978
1998/6/1,0.664809592,0.831307039
1998/7/1,0.382857747,0.861779334
1998/8/1,0.284426235,0.757405369
1998/9/1,-0.43295988,0.094039154
1998/10/1,-0.668564127,-0.572806524
1998/11/1,-0.541012002,-0.471014107
1998/12/1,-0.655786557,-0.511810381
1999/1/1,-0.511468729,-0.437731385
1999/2/1,-0.595400558,-0.440534502
1999/3/1,-0.737052203,-0.467205293
1999/4/1,-0.974036824,-0.55082829
1999/5/1,-0.353700098,-0.390254885
1999/6/1,-0.897729801,-0.455927441
1999/7/1,-0.780042704,-0.810148588
1999/8/1,0.163109504,0.247919368
1999/9/1,0.648960471,0.875235136
1999/10/1,1.239231068,1.158760729
1999/11/1,1.478504675,1.480245446
1999/12/1,1.604956914,1.494376683
2000/1/1,1.316152492,1.413160483
2000/2/1,1.836640415,1.442952308
2000/3/1,2.252934061,1.474181761
2000/4/1,2.152722264,1.495847412
2000/5/1,2.33757917,1.518720965
2000/6/1,2.344381928,1.52547376
2000/7/1,2.333683756,1.587274772
2000/8/1,1.406830697,1.223359388
2000/9/1,1.122673138,1.132685758
2000/10/1,1.233152156,1.012777096
2000/11/1,0.841207409,0.556433968
2000/12/1,0.709886967,0.527822854
2001/1/1,0.407791932,0.467877231
2001/2/1,0.328207527,0.422770382
2001/3/1,0.154560657,0.387899984
2001/4/1,0.068937875,0.347973787
2001/5/1,0.881132762,0.527502883
2001/6/1,1.532506377,1.28347339
2001/7/1,1.373597954,1.427428573
2001/8/1,1.075375802,1.486394794
2001/9/1,1.189623592,1.427548987
2001/10/1,1.883002151,1.635617593
2001/11/1,2.165068832,1.751296502
2001/12/1,2.344268367,1.752492899
2002/1/1,2.158633585,1.712068407
2002/2/1,2.004657353,1.710259472
2002/3/1,1.696835179,1.705939975
2002/4/1,1.94155544,1.716761882
2002/5/1,1.782259351,1.7582901
2002/6/1,1.155201506,1.406115159
2002/7/1,1.102181285,1.3762676
2002/8/1,2.392635467,2.034342827
2002/9/1,2.135882665,1.931033245
2002/10/1,1.521143341,1.691741098
2002/11/1,1.083265172,1.345328152
2002/12/1,1.07971605,1.334337112
2003/1/1,1.020260433,1.314078432
2003/2/1,1.202244669,1.317083233
2003/3/1,1.206508047,1.30912085
2003/4/1,1.144401666,1.30516703
2003/5/1,0.353921428,1.17813827
2003/6/1,0.719156379,1.322550273
2003/7/1,0.147517982,0.932669833
2003/8/1,-0.596741597,-0.446460764
2003/9/1,-0.56062959,-0.468208333
2003/10/1,-0.73888116,-0.658661532
2003/11/1,-0.820086038,-0.608750244
2003/12/1,-0.769425219,-0.600447206
2004/1/1,-0.781732421,-0.648779202
2004/2/1,-0.874499648,-0.671717745
2004/3/1,-0.974220932,-0.684131764
2004/4/1,-0.376031252,-0.478199824
2004/5/1,-0.070274031,-0.37397797
2004/6/1,-0.334163678,-0.654177549
2004/7/1,-0.045586565,-0.407757546
2004/8/1,0.05591822,-0.269919308
2004/9/1,0.092399865,-0.240349368
2004/10/1,0.103798255,-0.101433119
2004/11/1,0.248069473,-0.0747413
2004/12/1,0.058339055,-0.118875645
2005/1/1,0.045119507,-0.164684382
2005/2/1,-0.042749969,-0.164592889
2005/3/1,0.51094335,-0.084867051
2005/4/1,-0.099352383,-0.222161588
2005/5/1,-0.838389684,-0.467277415
2005/6/1,-0.777372346,-0.636878875
2005/7/1,-0.849624618,-0.654783499
2005/8/1,-0.525952463,-0.498452522
2005/9/1,-0.518462686,-0.506283381
2005/10/1,-0.400796944,-0.366904231
2005/11/1,-0.414311102,-0.225464842
2005/12/1,-0.377440977,-0.233395329
2006/1/1,-0.479805351,-0.254184441
2006/2/1,-0.486378449,-0.253320234
2006/3/1,-0.822919585,-0.336797804
2006/4/1,-0.588340072,-0.352373519
